order_id,date,store_id,product_id,qty,amount,payment
ORD115025,2026-08-10,S02,P12,1,8.00,银行卡
ORD101805,2026-05-12,S05,P19,1,15.00,微信
ORD105430,2026-06-06,S03,P08,3,75.00,会员储值
ORD107877,2026-06-23,S02,P04,1,38.00,银行卡
ORD108921,2026-06-30,S02,P16,1,5.00,会员储值
ORD107010,2026-06-17,S05,P05,1,34.00,支付宝
ORD109351,2026-07-03,S03,P08,2,50.00,现金
ORD105844,2026-06-09,S01,P02,1,30.00,支付宝
ORD116688,2026-08-22,S03,P09,2,36.00,银行卡
ORD114999,2026-08-10,S01,P19,1,15.00,支付宝
ORD112651,2026-07-25,S05,P03,1,26.00,会员储值
ORD111939,2026-07-20,S02,P05,2,68.00,微信
ORD106969,2026-06-17,S04,P11,1,26.00,现金
ORD109312,2026-07-03,S01,P05,1,34.00,微信
ORD103764,2026-05-26,S01,P13,1,20.00,支付宝
ORD106320,2026-06-13,S02,P05,2,68.00,会员储值
ORD116711,2026-08-22,S03,P02,2,60.00,微信
ORD111723,2026-07-19,S01,P02,1,30.00,现金
ORD114347,2026-08-06,S01,P02,1,30.00,支付宝
ORD113464,2026-07-31,S03,P03,2,52.00,微信
ORD103327,2026-05-23,S03,P14,2,20.00,银行卡
ORD115686,2026-08-15,S02,P14,2,20.00,支付宝
ORD104127,2026-05-28,S05,P20,1,22.00,支付宝
ORD100720,2026-05-05,S03,P07,2,44.00,微信
ORD117438,2026-08-27,S02,P06,1,45.00,微信
ORD111632,2026-07-18,S04,P11,1,26.00,会员储值
ORD102479,2026-05-17,S02,P04,1,38.00,会员储值
ORD103428,2026-05-23,S05,P20,1,22.00,会员储值
ORD109491,2026-07-04,S02,P06,3,135.00,支付宝
ORD110453,2026-07-10,S05,P19,2,30.00,银行卡
ORD105575,2026-06-07,S02,P20,1,22.00,银行卡
ORD107980,2026-06-24,S01,P03,1,26.00,银行卡
ORD111837,2026-07-19,S04,P11,1,26.00,支付宝
ORD103452,2026-05-24,S01,P01,1,32.00,会员储值
ORD104368,2026-05-30,S03,P08,1,25.00,微信
ORD104571,2026-05-31,S03,P20,2,44.00,银行卡
ORD115781,2026-08-15,S04,P13,2,40.00,支付宝
ORD102358,2026-05-16,S04,P10,1,24.00,支付宝
ORD114401,2026-08-06,S03,P21,1,16.00,会员储值
ORD117902,2026-08-30,S02,P17,2,24.00,银行卡
ORD106575,2026-06-14,S04,P11,1,26.00,银行卡
ORD106680,2026-06-15,S02,P03,1,26.00,会员储值
ORD114765,2026-08-08,S05,P20,1,22.00,微信
ORD109472,2026-07-04,S02,P01,1,32.00,银行卡
ORD107720,2026-06-21,S05,P08,2,50.00,会员储值
ORD114101,2026-08-04,S01,P14,1,10.00,银行卡
ORD102826,2026-05-19,S04,P01,1,32.00,会员储值
ORD100453,2026-05-03,S04,P10,2,48.00,银行卡
